name,category,subcategory
Copyright,COMPANIES,
Designed At,COMPANIES,
Distributed By,COMPANIES,
Duplicated By,COMPANIES,
Edited At,COMPANIES,
Engineered At,COMPANIES,
Exclusive Retailer,COMPANIES,
Exported By,COMPANIES,
Filmed At,COMPANIES,
Glass Mastered At,COMPANIES,
Lacquer Cut At,COMPANIES,
Licensed From,COMPANIES,
Licensed Through,COMPANIES,
Licensed To,COMPANIES,
Made By,COMPANIES,
Manufactured By,COMPANIES,
Manufactured For,COMPANIES,
Marketed By,COMPANIES,
Mastered At,COMPANIES,
Mixed At,COMPANIES,
Overdubbed At,COMPANIES,
Phonographic Copyright,COMPANIES,
Pressed By,COMPANIES,
Printed By,COMPANIES,
Produced At,COMPANIES,
Produced For,COMPANIES,
Published By,COMPANIES,
Record Company,COMPANIES,
Recorded At,COMPANIES,
Recorded By,COMPANIES,
Remastered At,COMPANIES,
Remixed At,COMPANIES,
